Date,Open,High,Low,Close,Volume,Adj Close
2014-04-17,185.88,186.91,185.56,186.39,105197700,186.39
2014-04-16,185.47,186.14,184.65,186.13,104864300,186.13
2014-04-15,183.32,184.33,181.51,184.20,156965100,184.20
2014-04-14,182.93,183.37,181.44,182.94,132258100,182.94
2014-04-11,182.14,183.42,181.31,181.51,166982800,181.51
2014-04-10,187.08,187.17,182.93,183.16,172695800,183.16
2014-04-09,185.60,187.15,185.06,187.09,100006500,187.09
2014-04-08,184.26,185.40,183.59,185.10,112555400,185.10
2014-04-07,185.95,186.26,183.96,184.34,140637400,184.34
2014-04-04,189.66,189.70,186.10,186.40,169381000,186.40
2014-04-03,189.17,189.22,188.05,188.63,77206000,188.63
2014-04-02,188.49,189.13,188.14,188.88,78774000,188.88
2014-04-01,187.62,188.36,187.00,188.25,89193000,188.25
2014-03-31,186.67,187.30,185.52,187.01,99745000,187.01
2014-03-28,185.11,186.42,185.00,185.49,101642000,185.49
2014-03-27,184.75,185.34,183.90,184.58,142383000,184.58
2014-03-26,187.04,187.34,184.92,184.97,119843000,184.97
2014-03-25,186.37,186.94,185.27,186.31,103852000,186.31
2014-03-24,186.84,187.07,184.62,185.43,121411000,185.43
2014-03-21,187.71,189.02,186.03,186.20,163128000,186.20
2014-03-20,186.25,187.89,185.92,187.75,117241000,186.93
2014-03-19,187.68,187.94,185.47,186.66,176267300,185.84
2014-03-18,186.71,187.91,186.51,187.66,101804600,186.84
2014-03-17,185.59,186.77,185.51,186.33,98359500,185.51
2014-03-14,184.85,185.80,184.44,184.66,153919600,183.85
2014-03-13,187.84,187.99,184.66,185.18,155014300,184.37
2014-03-12,186.32,187.35,185.90,187.28,104824400,186.46
2014-03-11,188.44,188.71,186.80,187.23,99009100,186.41
2014-03-10,187.97,188.23,187.08,188.16,74939200,187.33
2014-03-07,188.96,188.96,187.43,188.26,114513500,187.43
2014-03-06,188.21,188.61,187.78,188.18,82516500,187.35
2014-03-05,187.74,188.07,187.45,187.75,88376900,186.93
2014-03-04,186.79,187.98,186.75,187.58,167545900,186.76
2014-03-03,184.65,185.45,183.75,184.98,167748500,184.17
2014-02-28,185.79,187.15,185.05,186.29,150842000,185.47
2014-02-27,184.58,185.87,184.37,185.82,93880800,185.00
2014-02-26,185.11,185.60,184.33,184.85,98677200,184.04
2014-02-25,185.06,185.59,184.23,184.84,117085000,184.03
2014-02-24,184.28,186.15,184.20,184.91,114063900,184.10
2014-02-21,184.45,184.89,183.80,183.89,118116400,183.08
2014-02-20,183.27,184.52,182.60,184.10,104998100,183.29
2014-02-19,183.76,184.95,182.87,183.02,126524300,182.22
2014-02-18,184.18,184.49,183.65,184.24,80460900,183.43
2014-02-14,182.84,184.36,182.67,184.02,96498400,183.21
2014-02-13,180.84,183.20,180.83,183.01,100542200,182.21
2014-02-12,182.25,182.83,181.71,182.07,94717700,181.27
2014-02-11,180.16,182.44,180.04,181.98,117814100,181.18
2014-02-10,179.70,180.07,179.21,180.01,92218800,179.22
2014-02-07,178.31,179.87,177.73,179.68,170787200,178.89
2014-02-06,175.58,177.48,175.22,177.48,132877600,176.70
2014-02-05,174.78,175.56,173.71,175.17,164230500,174.40
2014-02-04,174.95,175.84,174.11,175.39,165012400,174.62
2014-02-03,177.97,178.37,173.83,174.17,254837100,173.40
