Date,Open,High,Low,Close,Volume,Adj Close
2014-04-17,3.49,3.76,3.46,3.51,44200,3.51
2014-04-16,3.44,3.54,3.35,3.43,45200,3.43
2014-04-15,3.52,3.80,3.40,3.42,52700,3.42
2014-04-14,3.29,3.58,3.29,3.47,79700,3.47
2014-04-11,3.45,3.50,3.25,3.27,74100,3.27
2014-04-10,3.66,3.79,3.45,3.50,80100,3.50
2014-04-09,3.67,3.86,3.56,3.66,78400,3.66
2014-04-08,3.35,3.76,3.35,3.68,258200,3.68
2014-04-07,3.85,3.85,3.31,3.40,285700,3.40
2014-04-04,4.20,4.20,3.86,3.90,122100,3.90
2014-04-03,4.36,4.44,4.09,4.22,157300,4.22
2014-04-02,4.25,4.44,4.20,4.38,97300,4.38
2014-04-01,4.32,4.42,4.20,4.30,203300,4.30
2014-03-31,4.39,4.39,4.08,4.27,74300,4.27
2014-03-28,4.51,4.73,4.07,4.07,142300,4.07
2014-03-27,4.52,4.65,3.98,4.57,309700,4.57
2014-03-26,4.89,4.89,4.38,4.52,149700,4.52
2014-03-25,5.20,5.20,4.84,4.91,146500,4.91
2014-03-24,5.75,5.75,4.61,5.21,208000,5.21
2014-03-21,5.89,5.89,5.32,5.32,266400,5.32
2014-03-20,5.99,6.03,5.86,5.89,98200,5.89
2014-03-19,5.80,5.97,5.72,5.95,141600,5.95
2014-03-18,5.54,5.95,5.54,5.80,193200,5.80
2014-03-17,5.45,5.80,5.34,5.70,145000,5.70
2014-03-14,5.40,5.50,5.15,5.46,98900,5.46
2014-03-13,5.70,5.85,5.30,5.50,213600,5.50
2014-03-12,5.60,5.70,5.40,5.58,149200,5.58
2014-03-11,5.86,6.00,5.55,5.64,170400,5.64
2014-03-10,6.00,6.15,5.89,5.90,158700,5.90
2014-03-07,6.06,6.24,6.00,6.00,184700,6.00
2014-03-06,6.08,6.50,5.94,6.06,401500,6.06
2014-03-05,6.20,6.20,5.83,5.89,394800,5.89
2014-03-04,5.89,6.02,5.45,5.76,248700,5.76
2014-03-03,5.99,6.30,5.03,5.31,405000,5.31
2014-02-28,6.00,6.35,6.00,6.01,304300,6.01
2014-02-27,6.00,6.48,5.85,6.00,436600,6.00
2014-02-26,6.30,6.45,5.98,6.00,499100,6.00
2014-02-25,5.85,6.69,5.74,6.07,662400,6.07
2014-02-24,4.85,6.84,4.75,6.17,885500,6.17
2014-02-21,4.70,4.80,4.57,4.80,157600,4.80
2014-02-20,4.59,4.70,4.52,4.70,55500,4.70
2014-02-19,4.56,4.79,4.41,4.50,126400,4.50
2014-02-18,4.80,4.80,4.49,4.70,92900,4.70
2014-02-14,4.70,4.89,4.63,4.64,87900,4.64
2014-02-13,4.90,4.99,4.70,4.81,103500,4.81
2014-02-12,5.10,5.25,4.91,5.02,112700,5.02
2014-02-11,5.00,5.71,4.90,5.10,275300,5.10
2014-02-10,4.52,4.99,4.49,4.81,151600,4.81
2014-02-07,4.30,4.51,4.25,4.47,44000,4.47
2014-02-06,4.26,4.40,4.25,4.26,53700,4.26
2014-02-05,4.39,4.39,4.26,4.26,30800,4.26
2014-02-04,4.37,4.45,4.32,4.39,45700,4.39
2014-02-03,4.72,4.72,4.31,4.44,64000,4.44
