Date,Open,High,Low,Close,Volume,Adj Close
2014-04-17,48.96,49.50,48.75,49.10,15137800,49.10
2014-04-16,48.75,49.22,48.49,49.17,20968400,49.17
2014-04-15,48.75,48.95,47.74,48.41,17997700,48.41
2014-04-14,48.20,48.84,48.10,48.66,16180000,48.66
2014-04-11,48.17,48.70,47.91,47.96,17017200,47.96
2014-04-10,49.68,49.93,48.39,48.42,19111700,48.42
2014-04-09,48.78,49.89,48.67,49.79,20436800,49.79
2014-04-08,49.19,49.19,48.27,48.85,23534300,48.85
2014-04-07,50.11,50.21,48.64,49.08,21995600,49.08
2014-04-04,51.18,51.61,50.17,50.18,18275500,50.18
2014-04-03,50.76,51.31,50.73,51.12,14408200,51.12
2014-04-02,50.02,50.97,50.02,50.90,15947200,50.90
2014-04-01,50.34,50.38,49.63,49.93,13972000,49.93
2014-03-31,49.84,50.39,49.78,50.04,17379100,50.04
2014-03-28,49.39,49.84,49.01,49.56,15965400,49.34
2014-03-27,49.41,49.59,49.00,49.10,12594200,48.88
2014-03-26,49.74,50.36,49.57,49.62,19430200,49.39
2014-03-25,50.35,50.49,49.39,49.67,18441000,49.44
2014-03-24,50.25,50.50,49.33,50.30,18427000,50.07
2014-03-21,50.69,51.31,49.91,50.00,23994300,49.77
2014-03-20,50.00,50.95,49.90,50.61,15480100,50.38
2014-03-19,50.21,50.29,49.50,49.88,21376900,49.65
2014-03-18,50.73,50.73,49.97,50.22,16336200,49.99
2014-03-17,50.98,50.99,50.61,50.78,12849000,50.55
2014-03-14,50.32,50.79,50.18,50.64,15858000,50.41
2014-03-13,51.11,51.19,50.17,50.46,15126600,50.23
2014-03-12,51.00,51.19,50.61,50.98,11105500,50.75
2014-03-11,51.71,51.76,51.00,51.22,11925800,50.99
2014-03-10,51.67,51.89,51.31,51.52,9942500,51.29
2014-03-07,52.32,52.37,51.44,51.63,12991700,51.40
2014-03-06,52.12,52.32,51.83,52.11,12864200,51.87
2014-03-05,51.37,52.26,51.13,51.89,16589900,51.65
2014-03-04,51.40,51.59,51.23,51.36,12909800,51.13
2014-03-03,51.08,51.27,50.61,51.00,16750400,50.77
2014-02-28,51.30,52.08,51.12,51.69,19195000,51.46
2014-02-27,50.65,51.37,50.50,51.08,17736300,50.85
2014-02-26,50.92,50.92,50.20,50.68,15258200,50.45
2014-02-25,51.26,51.46,50.19,50.77,20414000,50.54
2014-02-24,51.72,51.86,51.13,51.15,16379900,50.92
2014-02-21,52.06,52.06,51.00,51.05,24052400,50.82
2014-02-20,51.78,52.14,51.33,51.76,25738600,51.53
2014-02-19,53.27,53.37,51.21,51.57,40202800,51.34
2014-02-18,53.96,53.97,53.19,53.53,20270700,53.29
2014-02-14,53.01,54.11,53.00,53.70,35824900,53.46
2014-02-13,53.52,54.29,52.77,52.97,83269800,52.73
2014-02-12,55.23,55.28,55.03,55.24,8014000,54.99
2014-02-11,54.31,55.05,54.28,55.00,7931900,54.75
2014-02-10,54.77,54.77,54.21,54.35,6944600,54.10
2014-02-07,54.38,54.83,54.19,54.64,9766600,54.39
2014-02-06,53.74,54.15,53.40,54.03,7901000,53.78
2014-02-05,53.10,53.66,52.83,53.38,9114500,53.14
2014-02-04,52.92,53.60,52.19,53.52,14025100,53.28
2014-02-03,54.74,54.96,52.53,52.77,19152700,52.53
