Date,Open,High,Low,Close,Volume,Adj Close
2014-04-17,2.92,3.09,2.74,2.77,3019700,2.77
2014-04-16,2.80,3.03,2.61,2.94,2980000,2.94
2014-04-15,2.82,2.92,2.29,2.66,4180100,2.66
2014-04-14,3.34,3.57,2.74,2.83,5292900,2.83
2014-04-11,3.50,3.77,3.24,3.28,2563100,3.28
2014-04-10,3.81,3.84,3.56,3.61,1946400,3.61
2014-04-09,3.86,3.88,3.67,3.84,1140000,3.84
2014-04-08,3.80,3.85,3.65,3.77,2209500,3.77
2014-04-07,3.80,3.85,3.55,3.62,2254200,3.62
2014-04-04,4.05,4.07,3.52,3.71,4825500,3.71
2014-04-03,4.31,4.33,3.93,4.02,3237900,4.02
2014-04-02,4.35,4.50,4.28,4.33,2483300,4.33
2014-04-01,4.05,4.42,4.00,4.41,3972100,4.41
2014-03-31,4.44,4.50,4.00,4.08,6834000,4.08
2014-03-28,4.51,4.80,4.22,4.57,19697100,4.57
2014-03-27,4.15,4.22,3.67,3.88,6301000,3.88
2014-03-26,4.56,4.64,3.88,4.19,7608700,4.19
2014-03-25,4.81,5.02,4.41,4.52,5472400,4.52
2014-03-24,5.71,5.98,4.50,4.79,11332400,4.79
2014-03-21,6.55,6.63,6.05,6.08,3188900,6.08
2014-03-20,6.45,6.73,6.32,6.48,2154400,6.48
2014-03-19,6.80,6.86,6.46,6.59,2824100,6.59
2014-03-18,6.16,6.87,6.04,6.59,7646500,6.59
2014-03-17,5.81,6.10,5.73,6.06,3064300,6.06
2014-03-14,5.56,5.82,5.42,5.70,1816900,5.70
2014-03-13,6.05,6.08,5.51,5.61,3077900,5.61
2014-03-12,5.94,6.04,5.56,5.91,3869600,5.91
2014-03-11,5.88,6.13,5.65,5.76,1855400,5.76
2014-03-10,5.86,6.25,5.76,5.82,2865000,5.82
2014-03-07,5.62,5.85,5.25,5.78,3103200,5.78
2014-03-06,5.73,5.82,5.39,5.63,1729400,5.63
2014-03-05,5.82,6.00,5.76,5.79,1623900,5.79
2014-03-04,5.82,6.01,5.76,5.79,1945500,5.79
2014-03-03,5.78,5.90,5.57,5.65,2738600,5.65
2014-02-28,6.20,6.20,5.59,5.79,3174600,5.79
2014-02-27,6.37,6.44,6.03,6.21,2469200,6.21
2014-02-26,6.26,6.75,6.25,6.34,3663000,6.34
2014-02-25,6.09,6.19,5.91,6.19,2934800,6.19
2014-02-24,6.10,6.50,5.75,6.18,6436400,6.18
2014-02-21,5.21,6.09,5.10,6.00,8002000,6.00
2014-02-20,4.80,5.20,4.69,5.20,2676700,5.20
2014-02-19,4.82,4.87,4.65,4.84,1384900,4.84
2014-02-18,4.41,4.78,4.27,4.78,1892400,4.78
2014-02-14,4.42,4.61,4.34,4.40,1288000,4.40
2014-02-13,4.40,4.44,4.23,4.40,1742700,4.40
2014-02-12,4.90,4.94,4.37,4.44,3165600,4.44
2014-02-11,5.17,5.17,4.80,4.88,1754600,4.88
2014-02-10,5.24,5.50,4.90,4.93,4053800,4.93
2014-02-07,4.86,5.26,4.80,5.14,3080700,5.14
2014-02-06,4.60,5.15,4.59,4.84,5565400,4.84
2014-02-05,4.04,4.59,3.82,4.56,5925600,4.56
2014-02-04,4.62,4.68,4.04,4.20,1754000,4.20
