Date,Open,High,Low,Close,Volume,Adj Close
2014-04-17,125.38,125.53,124.57,124.75,5901900,124.75
2014-04-16,125.37,125.57,125.03,125.54,4071300,125.54
2014-04-15,124.79,125.70,124.60,125.49,9967600,125.49
2014-04-14,127.80,128.25,127.62,127.85,6677400,127.85
2014-04-11,127.04,127.31,126.73,126.93,4697200,126.93
2014-04-10,126.95,127.37,126.82,127.01,5003200,127.01
2014-04-09,125.46,126.72,125.33,126.32,5305600,126.32
2014-04-08,126.34,126.34,125.90,126.09,6939100,126.09
2014-04-07,125.07,125.47,124.84,124.91,3967200,124.91
2014-04-04,125.20,125.96,124.86,125.57,7278400,125.57
2014-04-03,123.75,124.26,123.59,123.92,3658800,123.92
2014-04-02,124.41,124.75,124.19,124.32,4907800,124.32
2014-04-01,123.71,123.85,123.11,123.39,5992000,123.39
2014-03-31,124.52,124.79,123.57,123.61,12379200,123.61
2014-03-28,124.23,124.96,123.88,124.56,7253700,124.56
2014-03-27,125.06,125.29,124.21,124.59,7312300,124.59
2014-03-26,126.27,126.38,125.13,125.41,8575400,125.41
2014-03-25,126.44,126.82,126.24,126.41,6566900,126.41
2014-03-24,126.87,127.14,126.03,126.18,13076500,126.18
2014-03-21,129.04,129.09,128.41,128.47,7237300,128.47
2014-03-20,127.78,128.41,127.58,127.86,7690800,127.86
2014-03-19,129.55,129.68,127.94,128.09,12932900,128.09
2014-03-18,130.39,131.27,130.33,130.62,6424400,130.62
2014-03-17,132.73,133.22,131.22,131.64,14626800,131.64
2014-03-14,133.68,133.69,132.35,133.10,11939600,133.10
2014-03-13,131.69,132.54,131.56,132.21,8007700,132.21
2014-03-12,131.56,132.12,131.39,131.76,11094200,131.76
2014-03-11,130.01,130.15,128.93,129.86,7289800,129.86
2014-03-10,128.88,129.61,128.78,129.13,4169900,129.13
2014-03-07,128.25,129.23,128.21,129.09,7575000,129.09
2014-03-06,129.71,130.47,129.47,130.17,5408900,130.17
2014-03-05,128.71,129.34,128.58,128.89,4878500,128.89
2014-03-04,128.54,129.24,128.32,128.68,6341700,128.68
2014-03-03,130.00,130.59,129.81,130.29,11741100,130.29
2014-02-28,128.27,128.35,127.15,127.62,10584100,127.62
2014-02-27,128.40,128.80,127.89,128.20,5066500,128.20
2014-02-26,128.49,128.76,127.42,128.11,7052900,128.11
2014-02-25,128.62,129.53,128.57,129.21,5786000,129.21
2014-02-24,128.51,129.07,128.34,128.99,12114200,128.99
2014-02-21,127.57,128.07,127.15,127.58,7298200,127.58
2014-02-20,126.75,127.75,126.40,127.60,10572900,127.60
2014-02-19,127.26,127.45,126.16,126.27,9384100,126.27
2014-02-18,127.42,127.75,127.09,127.40,7685800,127.40
2014-02-14,126.99,127.38,126.75,127.15,11147900,127.15
2014-02-13,124.70,125.60,124.66,125.49,9167900,125.49
2014-02-12,124.40,124.98,124.13,124.43,6651900,124.43
2014-02-11,123.38,124.75,123.36,124.36,11546000,124.36
2014-02-10,122.80,123.16,122.72,122.92,7931200,122.92
2014-02-07,121.24,122.24,121.23,122.17,6674700,122.17
2014-02-06,121.38,121.51,120.78,121.24,4745800,121.24
2014-02-05,121.76,121.88,120.73,121.29,6800000,121.29
2014-02-04,120.41,121.09,120.39,120.99,7027400,120.99
2014-02-03,120.47,122.11,120.32,121.32,9267300,121.32
