Date,Open,High,Low,Close,Volume,Adj Close
2014-04-17,12.01,13.10,11.81,12.90,2713600,12.90
2014-04-16,12.79,13.04,11.65,12.26,2742500,12.26
2014-04-15,10.99,12.83,10.56,12.60,5067300,12.60
2014-04-14,12.26,12.80,9.65,11.05,14015500,11.05
2014-04-11,13.48,14.50,11.40,12.70,10883500,12.70
2014-04-10,17.12,17.12,15.72,15.99,3463900,15.99
2014-04-09,16.16,16.94,16.16,16.78,1749500,16.78
2014-04-08,15.99,16.54,15.73,15.94,1717000,15.94
2014-04-07,16.76,17.05,15.03,15.81,2725300,15.81
2014-04-04,16.77,17.15,16.40,17.00,2263300,17.00
2014-04-03,17.60,17.60,17.00,17.13,2108200,17.13
2014-04-02,18.02,18.02,17.22,17.27,2066800,17.27
2014-04-01,17.64,18.39,17.62,17.94,2088100,17.94
2014-03-31,16.92,17.64,16.56,17.61,2117200,17.61
2014-03-28,16.90,17.69,16.60,16.83,1822900,16.83
2014-03-27,16.92,17.15,16.16,16.77,2044900,16.77
2014-03-26,18.08,18.45,16.28,16.90,5635000,16.90
2014-03-25,19.19,19.43,17.90,18.19,3896400,18.19
2014-03-24,19.97,20.00,18.35,18.51,2851100,18.51
2014-03-21,19.82,20.23,19.58,19.66,2329900,19.66
2014-03-20,20.30,20.50,19.53,19.98,2523100,19.98
2014-03-19,20.51,20.84,20.08,20.31,1872300,20.31
2014-03-18,20.23,20.85,19.84,20.44,2619800,20.44
2014-03-17,18.56,20.44,18.50,20.25,3920900,20.25
2014-03-14,18.47,18.77,18.06,18.28,2698600,18.28
2014-03-13,19.02,19.25,18.52,18.59,2572300,18.59
2014-03-12,18.50,19.30,18.12,18.91,2352500,18.91
2014-03-11,19.27,19.60,18.35,18.61,2708700,18.61
2014-03-10,20.45,20.45,18.77,19.20,3920800,19.20
2014-03-07,21.03,21.10,20.37,20.60,1588200,20.60
2014-03-06,20.76,20.97,20.56,20.84,2096900,20.84
2014-03-05,21.00,21.20,20.20,20.83,2405300,20.83
2014-03-04,21.27,21.59,20.73,21.39,3341200,21.39
2014-03-03,19.72,21.20,19.20,20.87,5291600,20.87
2014-02-28,21.44,22.33,17.13,19.41,11284800,19.41
2014-02-27,20.00,21.25,19.94,21.21,3531700,21.21
2014-02-26,19.92,20.17,19.41,19.95,2524000,19.95
2014-02-25,19.80,19.96,18.90,19.85,3977100,19.85
2014-02-24,18.75,19.68,18.75,19.65,4247500,19.65
2014-02-21,18.57,18.89,18.31,18.50,1853200,18.50
2014-02-20,18.42,18.68,18.22,18.61,1825500,18.61
2014-02-19,18.57,18.81,18.36,18.46,2072700,18.46
2014-02-18,18.16,18.60,18.03,18.48,2098000,18.48
2014-02-14,18.24,18.37,17.69,18.02,2703100,18.02
2014-02-13,18.00,18.83,17.82,18.24,4160400,18.24
2014-02-12,18.29,18.31,17.70,18.25,2558300,18.25
2014-02-11,18.27,18.39,17.35,17.93,3083400,17.93
2014-02-10,17.01,18.18,16.85,17.93,3740800,17.93
2014-02-07,16.79,17.36,16.79,17.01,2442500,17.01
2014-02-06,16.70,17.48,16.52,16.68,2497400,16.68
2014-02-05,16.71,17.18,16.43,16.59,1718100,16.59
2014-02-04,16.85,16.90,15.61,16.90,2141000,16.90
2014-02-03,17.45,17.79,16.30,16.37,2907600,16.37
2014-01-31,16.14,17.16,15.82,17.02,2491700,17.02
2014-01-30,16.13,16.40,15.76,16.01,1453400,16.01
2014-01-29,15.79,16.43,15.52,15.80,1918100,15.80
2014-01-28,15.25,16.37,15.07,16.19,3417000,16.19
2014-01-27,15.70,15.77,14.28,15.23,5137000,15.23
2014-01-24,17.71,17.76,15.70,15.78,4787400,15.78
2014-01-23,16.82,17.50,16.35,17.38,5749700,17.38
2014-01-22,17.25,18.50,17.16,17.98,7564500,17.98
2014-01-21,15.96,17.14,15.55,17.07,7799600,17.07
2014-01-17,15.97,15.98,15.48,15.61,2298600,15.61
2014-01-16,15.95,16.30,15.34,15.64,3963200,15.64
2014-01-15,15.85,16.63,15.10,15.63,11816000,15.63
2014-01-14,14.00,14.39,13.82,13.92,1180400,13.92
2014-01-13,14.35,14.70,13.85,14.00,2327600,14.00
2014-01-10,14.00,14.49,13.90,14.46,1954200,14.46
2014-01-09,14.35,14.43,13.40,13.93,3084000,13.93
2014-01-08,14.16,14.92,13.74,14.02,3359300,14.02
2014-01-07,15.33,15.75,14.23,14.52,3788000,14.52
2014-01-06,15.65,15.85,15.21,15.47,2392400,15.47
2014-01-03,16.10,16.30,15.27,15.95,4936300,15.95
2014-01-02,15.42,16.25,14.76,16.06,7497700,16.06
2013-12-31,14.38,16.21,14.37,14.70,12188900,14.70
2013-12-30,11.70,14.80,11.70,13.90,13580800,13.90
2013-12-27,12.25,12.35,11.67,11.85,1462100,11.85
2013-12-26,11.40,12.48,11.40,12.25,2734100,12.25
2013-12-24,11.50,11.60,11.32,11.45,574100,11.45
2013-12-23,11.83,11.94,11.32,11.56,2698900,11.56
2013-12-20,11.61,11.86,11.23,11.50,2968100,11.50
2013-12-19,11.16,11.96,11.12,11.84,2916100,11.84
2013-12-18,11.55,11.84,11.10,11.25,2215000,11.25
2013-12-17,11.68,11.98,11.52,11.85,1382000,11.85
2013-12-16,11.93,12.36,11.51,11.75,2447300,11.75
2013-12-13,10.90,12.18,10.88,12.10,3559500,12.10
2013-12-12,11.30,11.74,10.94,11.03,3260300,11.03
2013-12-11,11.99,12.07,10.53,11.30,6432100,11.30
2013-12-10,12.35,12.61,11.67,11.85,3059700,11.85
2013-12-09,12.91,12.97,12.29,12.57,1395600,12.57
2013-12-06,13.37,13.85,12.02,12.54,2782800,12.54
2013-12-05,13.59,14.18,13.26,13.54,2675900,13.54
2013-12-04,13.12,13.75,12.50,13.73,1921000,13.73
2013-12-03,13.40,13.47,13.05,13.28,2046500,13.28
2013-12-02,13.12,13.44,13.01,13.39,1513100,13.39
