Date,Open,High,Low,Close,Volume,Adj Close
2014-04-17,55.34,55.57,55.01,55.22,17955400,55.22
2014-04-16,55.00,55.35,54.69,55.26,27049400,55.26
2014-04-15,55.09,55.64,54.35,54.80,26691400,54.80
2014-04-14,55.85,55.94,54.48,54.96,31081500,54.96
2014-04-11,55.18,56.05,54.55,55.30,47241300,55.30
2014-04-10,59.35,59.39,57.38,57.40,29977200,57.40
2014-04-09,59.10,59.45,58.50,59.27,15308400,59.27
2014-04-08,58.80,59.02,58.25,58.85,16956500,58.85
2014-04-07,59.69,60.00,58.84,59.00,18685700,59.00
2014-04-04,61.02,61.06,59.80,59.81,16966900,59.81
2014-04-03,60.65,60.80,60.28,60.66,11925200,60.66
2014-04-02,60.37,60.77,60.20,60.48,14012200,60.48
2014-04-01,60.95,61.29,60.37,60.67,14584400,60.29
2014-03-31,60.83,61.02,60.60,60.71,15216700,60.33
2014-03-28,60.21,60.59,59.68,60.04,14708700,59.66
2014-03-27,59.94,60.55,59.02,59.92,24632600,59.54
2014-03-26,61.24,61.40,59.89,59.90,22745200,59.52
2014-03-25,61.11,61.48,60.56,60.93,24053500,60.55
2014-03-24,60.37,61.19,60.35,61.07,25810500,60.69
2014-03-21,60.96,61.20,60.00,60.17,35144100,59.79
2014-03-20,58.36,60.49,58.13,60.11,33736500,59.73
2014-03-19,57.99,58.93,57.89,58.30,21450700,57.93
2014-03-18,57.82,58.16,57.62,58.06,12554800,57.70
2014-03-17,57.21,57.70,57.05,57.58,13581400,57.22
2014-03-14,57.11,57.53,56.62,56.80,18635800,56.44
2014-03-13,58.00,58.34,57.19,57.42,17192500,57.06
2014-03-12,57.70,57.96,57.42,57.92,17932100,57.56
2014-03-11,59.42,59.45,58.13,58.19,19420000,57.83
2014-03-10,59.14,59.48,58.87,59.20,16945200,58.83
2014-03-07,59.35,59.80,59.07,59.40,18602200,59.03
2014-03-06,58.51,59.09,58.40,58.90,19420600,58.53
2014-03-05,57.48,58.29,57.36,58.16,17761500,57.80
2014-03-04,56.95,57.36,56.64,57.26,17157000,56.90
2014-03-03,56.30,56.42,55.69,56.21,19151000,55.86
2014-02-28,56.57,57.45,56.39,56.82,18599000,56.46
2014-02-27,56.78,56.89,56.14,56.69,16277500,56.33
2014-02-26,57.37,57.38,56.22,56.75,23661700,56.39
2014-02-25,57.90,57.98,56.92,57.03,17991800,56.67
2014-02-24,57.62,58.23,57.58,58.03,16151400,57.67
2014-02-21,57.59,57.84,57.37,57.61,16790100,57.25
2014-02-20,57.53,57.97,57.27,57.58,12457000,57.22
2014-02-19,58.36,58.54,57.22,57.26,18669900,56.90
2014-02-18,58.02,58.65,57.90,58.49,14983800,58.12
2014-02-14,57.89,58.23,57.75,58.15,13067300,57.79
2014-02-13,57.07,58.10,56.96,58.03,16605500,57.67
2014-02-12,57.34,57.71,57.16,57.52,13437900,57.16
2014-02-11,56.61,57.57,56.58,57.43,18774100,57.07
2014-02-10,56.77,56.92,56.39,56.74,14715200,56.38
2014-02-07,56.65,56.93,56.26,56.62,23388500,56.27
2014-02-06,55.35,56.55,55.20,56.48,20881600,56.13
2014-02-05,55.10,55.45,54.58,55.21,19491600,54.86
2014-02-04,54.72,55.35,54.60,54.95,20709300,54.61
2014-02-03,55.50,55.92,54.20,54.31,28549900,53.97
