Date,Open,High,Low,Close,Volume,Adj Close
2014-04-17,3.85,3.87,3.76,3.82,3649500,3.82
2014-04-16,3.74,3.85,3.68,3.81,7021200,3.81
2014-04-15,3.82,3.92,3.65,3.71,11919700,3.71
2014-04-14,3.89,3.98,3.81,3.83,6417700,3.83
2014-04-11,3.96,4.02,3.89,3.91,7642000,3.91
2014-04-10,4.12,4.12,3.97,4.00,10928400,4.00
2014-04-09,4.08,4.14,4.01,4.13,9391000,4.13
2014-04-08,3.91,4.08,3.90,4.06,14472600,4.06
2014-04-07,3.84,3.96,3.76,3.92,10422700,3.92
2014-04-04,4.04,4.10,3.75,3.84,24309700,3.84
2014-04-03,3.96,4.17,3.95,4.16,13202800,4.16
2014-04-02,4.04,4.06,3.91,3.94,7868700,3.94
2014-04-01,3.98,4.14,3.92,3.98,23517100,3.98
2014-03-31,3.58,4.85,3.45,3.90,29745100,3.90
2014-03-28,3.65,3.65,3.55,3.57,9100300,3.57
2014-03-27,3.56,3.64,3.51,3.63,15795800,3.63
2014-03-26,3.41,3.53,3.35,3.46,9480000,3.46
2014-03-25,3.49,3.51,3.38,3.42,16484500,3.42
2014-03-24,3.59,3.60,3.42,3.52,13993300,3.52
2014-03-21,3.59,3.68,3.35,3.55,27959300,3.55
2014-03-20,3.45,3.62,3.38,3.58,25682400,3.58
2014-03-19,2.99,3.36,2.93,3.35,42568200,3.35
2014-03-18,3.74,3.74,2.99,3.06,107740200,3.06
2014-03-17,4.45,4.55,3.60,3.76,71381600,3.76
2014-03-14,3.92,4.26,3.83,4.13,49237300,4.13
2014-03-13,3.50,4.01,3.30,3.79,64336900,3.79
2014-03-12,3.30,3.79,3.20,3.54,124357900,3.54
2014-03-11,6.02,6.35,3.25,4.03,214434000,4.03
2014-03-10,5.48,5.85,5.30,5.82,30338600,5.82
2014-03-07,5.50,6.00,4.96,5.33,58571100,5.33
2014-03-06,4.96,5.45,4.90,5.45,47636100,5.45
2014-03-05,4.71,4.98,4.65,4.86,27632400,4.86
2014-03-04,4.68,4.77,4.63,4.70,18770400,4.70
2014-03-03,4.54,4.75,4.46,4.56,34715000,4.56
2014-02-28,4.71,4.80,4.40,4.80,37640100,4.80
2014-02-27,4.58,5.00,4.39,4.67,97974200,4.67
2014-02-26,4.21,4.51,3.94,4.47,81809600,4.47
2014-02-25,3.65,4.05,3.58,4.04,41335500,4.04
2014-02-24,3.34,3.62,3.33,3.58,43759800,3.58
2014-02-21,3.27,3.41,3.26,3.28,18440500,3.28
2014-02-20,3.39,3.39,3.20,3.29,26183600,3.29
2014-02-19,3.14,3.40,3.13,3.40,39762000,3.40
2014-02-18,3.06,3.12,3.05,3.12,9227600,3.12
2014-02-14,3.07,3.08,3.04,3.06,3782400,3.06
2014-02-13,3.10,3.10,3.05,3.07,3675000,3.07
2014-02-12,3.10,3.13,3.05,3.09,4324900,3.09
2014-02-11,3.01,3.15,3.00,3.11,13370900,3.11
2014-02-10,3.03,3.03,3.00,3.00,3826600,3.00
2014-02-07,3.00,3.04,2.99,3.02,17407300,3.02
2014-02-06,3.04,3.10,2.98,3.00,12501600,3.00
2014-02-05,3.04,3.05,2.97,3.05,9131600,3.05
2014-02-04,3.06,3.08,3.00,3.04,9234900,3.04
2014-02-03,3.11,3.14,3.08,3.08,10486600,3.08
