Date,Open,High,Low,Close,Volume,Adj Close
2014-04-17,7.08,7.44,7.00,7.32,19803300,7.32
2014-04-16,7.13,7.19,6.83,7.08,11211600,7.08
2014-04-15,7.40,7.48,6.53,6.99,23419400,6.99
2014-04-14,7.37,7.70,7.06,7.32,19807900,7.32
2014-04-11,6.95,7.40,6.81,7.29,19621000,7.29
2014-04-10,7.15,7.43,6.91,7.04,15832200,7.04
2014-04-09,7.12,7.23,7.01,7.15,10865700,7.15
2014-04-08,7.08,7.28,6.80,7.21,17689100,7.21
2014-04-07,6.95,7.18,6.58,6.74,19453800,6.74
2014-04-04,7.64,7.72,6.95,7.12,27207900,7.12
2014-04-03,7.70,7.87,7.47,7.63,27238900,7.63
2014-04-02,7.61,8.10,7.17,7.48,59488200,7.48
2014-04-01,7.01,7.68,6.85,7.54,41872000,7.54
2014-03-31,7.09,7.42,6.92,7.10,36313200,7.10
2014-03-28,6.85,7.15,6.68,6.90,26162900,6.90
2014-03-27,6.55,7.19,6.21,6.89,45187800,6.89
2014-03-26,7.63,7.86,6.26,6.45,119252700,6.45
2014-03-25,5.93,8.48,5.80,8.48,137021500,8.48
2014-03-24,6.10,6.23,5.56,5.69,26559500,5.69
2014-03-21,6.09,6.12,5.33,5.94,52597200,5.94
2014-03-20,6.10,6.33,5.91,5.97,27852300,5.97
2014-03-19,6.19,6.57,5.99,6.21,52422400,6.21
2014-03-18,6.49,6.59,5.82,5.96,56945500,5.96
2014-03-17,7.18,7.34,6.27,6.51,58073600,6.51
2014-03-14,7.48,7.99,6.58,6.71,75379800,6.71
2014-03-13,7.58,8.48,6.96,8.00,131348100,8.00
2014-03-12,5.82,7.40,5.32,6.80,140949000,6.80
2014-03-11,11.44,11.72,5.95,6.03,243272100,6.03
2014-03-10,9.23,11.41,8.57,10.31,211757700,10.31
2014-03-07,6.79,8.35,6.53,8.27,125747000,8.27
2014-03-06,6.45,6.69,6.02,6.36,47838600,6.36
2014-03-05,6.96,7.01,6.45,6.75,56042600,6.75
2014-03-04,6.46,7.09,6.24,6.69,121434400,6.69
2014-03-03,4.60,5.83,4.50,5.82,84414000,5.82
2014-02-28,4.51,4.84,4.45,4.67,37353600,4.67
2014-02-27,4.38,4.57,4.25,4.37,21812200,4.37
2014-02-26,4.49,4.64,4.25,4.41,52906000,4.41
2014-02-25,3.67,4.05,3.67,3.90,33159200,3.90
2014-02-24,3.66,3.75,3.60,3.69,7827500,3.69
2014-02-21,3.69,3.75,3.58,3.63,6159000,3.63
2014-02-20,3.50,3.72,3.36,3.70,14027000,3.70
2014-02-19,3.82,3.85,3.56,3.59,12469500,3.59
2014-02-18,3.88,3.92,3.80,3.87,8370500,3.87
2014-02-14,3.94,3.95,3.73,3.78,13630300,3.78
2014-02-13,3.79,3.94,3.77,3.94,19320500,3.94
2014-02-12,3.55,3.84,3.51,3.74,22885500,3.74
2014-02-11,3.67,3.68,3.50,3.51,12990400,3.51
2014-02-10,3.63,3.79,3.43,3.55,47977300,3.55
2014-02-07,3.16,3.24,3.06,3.10,9046200,3.10
2014-02-06,3.17,3.36,3.11,3.18,15078400,3.18
2014-02-05,3.18,3.23,3.02,3.07,12443600,3.07
2014-02-04,2.88,3.30,2.80,3.27,24443300,3.27
2014-02-03,3.10,3.16,2.80,2.84,10240100,2.84
