Date,Open,High,Low,Close,Volume,Adj Close
2014-04-17,199.61,202.29,194.08,198.12,5926800,198.12
2014-04-16,197.00,199.99,190.82,199.11,7202200,199.11
2014-04-15,199.09,199.29,184.32,193.91,13659300,193.91
2014-04-14,207.60,208.44,194.41,198.09,7692400,198.09
2014-04-11,200.61,207.00,198.60,203.78,9067200,203.78
2014-04-10,216.82,217.50,203.79,204.19,7191400,204.19
2014-04-09,216.76,218.45,210.89,216.93,5141800,216.93
2014-04-08,210.05,216.49,206.42,215.46,6889300,215.46
2014-04-07,205.81,216.20,203.51,207.52,9855500,207.52
2014-04-04,226.01,228.27,211.25,212.23,11345600,212.23
2014-04-03,230.30,235.73,222.00,225.40,10911500,225.40
2014-04-02,220.00,230.89,218.05,230.29,10782300,230.29
2014-04-01,209.02,218.16,208.58,216.97,7371400,216.97
2014-03-31,216.50,216.75,206.39,208.45,8380000,208.45
2014-03-28,212.80,216.72,210.27,212.37,9684800,212.37
2014-03-27,212.37,213.60,203.00,207.32,9495700,207.32
2014-03-26,221.95,222.60,211.35,212.96,6907300,212.96
2014-03-25,224.14,227.05,217.90,220.44,7865400,220.44
2014-03-24,229.75,229.90,210.27,220.17,11328800,220.17
2014-03-21,236.02,236.20,227.50,228.89,8216900,228.89
2014-03-20,236.16,239.25,233.36,234.91,3817900,234.91
2014-03-19,241.39,241.55,233.51,235.84,5071300,235.84
2014-03-18,236.95,241.50,235.02,240.04,6242300,240.04
2014-03-17,234.95,237.93,230.50,233.98,5912600,233.98
2014-03-14,235.29,236.94,228.32,230.97,8289700,230.97
2014-03-13,243.79,244.19,234.00,237.79,6236300,237.79
2014-03-12,231.50,247.50,231.11,241.49,9754400,241.49
2014-03-11,236.50,244.60,232.43,234.41,8810100,234.41
2014-03-10,242.70,243.00,236.06,238.84,7728100,238.84
2014-03-07,252.94,254.85,244.41,246.21,7812300,246.21
2014-03-06,254.14,257.50,249.45,252.94,7361100,252.94
2014-03-05,256.72,256.99,251.80,252.66,5935700,252.66
2014-03-04,258.48,260.00,252.83,254.84,8745600,254.84
2014-03-03,237.26,251.65,234.99,250.56,13089300,250.56
2014-02-28,249.65,252.68,242.55,244.81,14589800,244.81
2014-02-27,261.25,261.90,248.33,252.54,17945800,252.54
2014-02-26,258.58,265.00,247.50,253.00,24604600,253.00
2014-02-25,230.00,259.20,228.45,248.00,32681700,248.00
2014-02-24,208.76,218.36,208.32,217.65,8278400,217.65
2014-02-21,211.64,213.98,209.19,209.60,7818800,209.60
2014-02-20,215.01,215.21,206.27,209.97,18002300,209.97
2014-02-19,203.70,203.70,193.41,193.64,16169000,193.64
2014-02-18,205.24,206.00,201.36,203.70,9332800,203.70
2014-02-14,198.10,201.88,197.00,198.23,6158000,198.23
2014-02-13,193.34,202.72,193.25,199.63,8029300,199.63
2014-02-12,195.78,198.27,194.32,195.32,5173700,195.32
2014-02-11,198.97,202.20,192.70,196.62,10709900,196.62
2014-02-10,189.34,199.30,189.32,196.56,12970700,196.56
2014-02-07,181.01,186.63,179.60,186.53,8928500,186.53
2014-02-06,176.30,180.11,176.00,178.38,5841600,178.38
2014-02-05,178.30,180.59,169.36,174.42,7268000,174.42
2014-02-04,180.70,181.60,176.20,178.73,4686300,178.73
2014-02-03,182.89,184.88,175.16,177.11,6764900,177.11
2014-01-31,178.85,186.00,178.51,181.41,6508800,181.41
2014-01-30,178.00,184.78,177.01,182.84,8565000,182.84
2014-01-29,175.30,179.09,173.13,175.23,5935500,175.23
2014-01-28,171.50,178.98,171.00,178.38,6093400,178.38
2014-01-27,175.16,177.92,164.71,169.62,8716400,169.62
2014-01-24,177.85,180.48,173.53,174.60,7664300,174.60
2014-01-23,177.23,182.38,173.42,181.50,7867400,181.50
2014-01-22,177.81,180.32,174.76,178.56,7022600,178.56
2014-01-21,171.24,177.29,170.81,176.68,9734700,176.68
2014-01-17,170.19,173.20,167.95,170.01,9206200,170.01
2014-01-16,162.50,172.70,162.40,170.97,11959400,170.97
2014-01-15,168.45,172.23,162.10,164.13,20465600,164.13
2014-01-14,140.50,162.00,136.67,161.27,27607000,161.27
2014-01-13,145.78,147.00,137.82,139.34,6316100,139.34
2014-01-10,148.46,148.90,142.25,145.72,7446100,145.72
2014-01-09,152.50,153.43,146.85,147.53,5382000,147.53
2014-01-08,148.85,153.70,148.76,151.28,6163200,151.28
2014-01-07,147.62,150.40,145.25,149.36,5034100,149.36
2014-01-06,150.00,150.40,145.24,147.00,5361100,147.00
2014-01-03,150.00,152.19,148.60,149.56,4695000,149.56
2014-01-02,149.80,152.48,146.55,150.10,6188400,150.10
2013-12-31,152.32,153.20,148.66,150.43,4262400,150.43
2013-12-30,151.12,154.81,150.75,152.44,4467500,152.44
2013-12-27,155.30,155.50,150.80,151.12,5460200,151.12
2013-12-26,155.04,158.00,154.29,155.50,7129500,155.50
2013-12-24,150.00,154.97,149.82,151.41,9941500,151.41
2013-12-23,144.85,146.24,142.60,143.55,5385500,143.55
2013-12-20,141.58,144.35,141.58,143.24,7412600,143.24
2013-12-19,146.90,147.00,139.10,140.72,12740000,140.72
2013-12-18,152.24,154.90,145.95,147.98,11581900,147.98
2013-12-17,147.58,154.63,146.32,152.46,10495000,152.46
2013-12-16,148.48,150.43,146.10,147.94,6675300,147.94
2013-12-13,148.05,151.80,147.32,147.65,10591900,147.65
2013-12-12,139.70,148.24,138.53,147.47,10767800,147.47
2013-12-11,141.88,143.05,139.49,139.65,7137800,139.65
2013-12-10,140.05,145.87,139.86,142.19,10748200,142.19
2013-12-09,137.00,141.70,134.21,141.60,9061500,141.60
2013-12-06,141.51,142.49,136.30,137.36,7909600,137.36
2013-12-05,140.15,143.35,139.50,140.48,9288400,140.48
2013-12-04,144.32,144.43,137.13,138.95,13147700,138.95
2013-12-03,132.68,144.94,131.59,144.70,25682400,144.70
